Var1,Var2,Var3
"Specimen_0/Bone_0/Hole_2/bone_001.lvm",979,994
"Specimen_0/Bone_0/Hole_2/bone_002.lvm",979,1003
"Specimen_0/Bone_0/Hole_2/bone_003.lvm",979,1008
"Specimen_0/Bone_0/Hole_2/bone_004.lvm",979,1022
"Specimen_0/Bone_0/Hole_2/bone_005.lvm",979,1032
"Specimen_0/Bone_0/Hole_2/bone_006.lvm",979,1043
"Specimen_0/Bone_0/Hole_2/bone_007.lvm",979,1053
"Specimen_0/Bone_0/Hole_2/bone_008.lvm",979,1062
"Specimen_0/Bone_0/Hole_2/bone_009.lvm",979,1072
"Specimen_0/Bone_0/Hole_2/bone_010.lvm",979,1085
"Specimen_0/Bone_0/Hole_2/bone_011.lvm",979,1095
"Specimen_0/Bone_0/Hole_2/bone_012.lvm",979,1102
"Specimen_0/Bone_0/Hole_2/bone_013.lvm",979,1117
"Specimen_0/Bone_0/Hole_2/bone_014.lvm",979,1121
"Specimen_0/Bone_0/Hole_2/bone_015.lvm",979,1133
"Specimen_0/Bone_0/Hole_2/bone_016.lvm",979,1142
"Specimen_0/Bone_0/Hole_2/bone_017.lvm",979,1157
"Specimen_0/Bone_0/Hole_2/bone_018.lvm",979,1161
"Specimen_0/Bone_0/Hole_2/bone_019.lvm",979,1171
"Specimen_0/Bone_0/Hole_2/bone_020.lvm",979,1180
"Specimen_0/Bone_0/Hole_2/bone_021.lvm",979,1192
"Specimen_0/Bone_0/Hole_2/bone_022.lvm",979,1199
"Specimen_0/Bone_0/Hole_2/bone_023.lvm",979,1204
"Specimen_0/Bone_0/Hole_2/bone_024.lvm",979,1219
"Specimen_0/Bone_0/Hole_2/bone_025.lvm",979,1230
"Specimen_0/Bone_0/Hole_2/bone_026.lvm",979,1233
"Specimen_0/Bone_0/Hole_2/bone_027.lvm",979,1239
"Specimen_0/Bone_0/Hole_2/bone_028.lvm",979,1244
"Specimen_0/Bone_0/Hole_2/bone_029.lvm",979,1247
"Specimen_0/Bone_0/Hole_2/bone_030.lvm",979,1246
"Specimen_0/Bone_0/Hole_2/bone_031.lvm",979,1236
"Specimen_0/Bone_0/Hole_2/bone_032.lvm",979,1246
"Specimen_0/Bone_0/Hole_2/bone_033.lvm",979,1249
